,year,transmission,price,mileage,desc,XLE,XE,J ,E ,G ,variant
155,2022,Automatic,658000,5000,2022 Toyota Vios 1.3xle like new must see Auto,1,0,0,1,0,XLE
156,2022,Automatic,658000,5000,2022 Toyota Vios 1.3xle 3tkm like new must see Auto,1,0,0,1,0,XLE
157,2014,Automatic,448000,25000,Toyota Vios 1.3E Auto,0,0,0,1,0,E 
158,2018,Automatic,420000,45000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
159,2014,Manual,314888,45000,Toyota Vios 1.5 J LX Manual,0,0,1,0,0,J 
160,2016,Automatic,480000,5000,Toyota Vios 1.5 G (A),0,0,0,0,1,G 
161,2021,Automatic,612000,5000,2021 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
162,2021,Automatic,598000,5000,2021 Toyota Vios 1.3xle 8tkm very fresh must see Auto,1,0,0,1,0,XLE
163,2018,Manual,490000,15000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
164,2008,Manual,298000,85000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
165,2018,Automatic,449000,45000,2018 Toyota Vios 1.3 E AT Automatic Gas Auto,0,0,0,1,0,E 
166,2008,Manual,260000,155000,Toyota Vios 1.5 G (M),0,0,0,0,1,G 
167,2018,Manual,405000,45000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
168,2013,Automatic,328000,65000,Toyota Vios 1.3g automatic Auto,0,0,0,0,1,G 
169,2022,Automatic,649000,5000,2022 Toyota vios 1.3 xle cvt Auto,1,0,0,1,0,XLE
170,2022,Automatic,114000,15000,2022 Toyota Vios 1.3XLE Automatic All Colors Auto,1,0,0,1,0,XLE
171,2008,Manual,320000,65000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
172,2022,Automatic,699000,5000,2022 Toyota Vios 1.3 XLE CVT Auto,1,0,0,1,0,XLE
173,2017,Manual,555000,55000,Toyota Vios 1.5 G (M),0,0,0,0,1,G 
174,2008,Manual,228000,110000,Toyota Vios 1.5 J (M),0,0,1,0,0,J 
175,2017,Automatic,380000,125000,Toyota Vios E variant Auto,0,0,0,1,0,E 
176,2012,Manual,270000,125000,Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
177,2021,Automatic,678000,15000,🔥🔥SALE!!!🔥🔥2021 Toyota Vios E Cvt A/t 12k mileage Auto,0,0,0,1,0,E 
178,2019,Automatic,559000,25000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
179,2021,Automatic,660000,5000,Toyota Vios XLE CVT Auto,1,0,0,1,0,XLE
180,2016,Manual,330000,155000,Toyota Vios J 1.3 Manual,0,0,1,0,0,J 
181,2018,Automatic,518000,45000,Toyota Vios 1.3 E Auto,0,0,0,1,0,E 
182,2013,Automatic,335000,35000,Toyota Vios 1.5 G (A),0,0,0,0,1,G 
183,2015,Manual,365000,35000,Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
184,2021,Automatic,568000,5000,2021 Toyota Vios 1.3 CVT Automatic Green SE Auto,0,0,0,1,0,E 
185,2018,Manual,488000,25000,Toyota Vios 1.3 J Manual,0,0,1,0,0,J 
186,2017,Manual,449000,45000,Toyota Vios 1.3 E VVTI Manual,0,0,0,1,0,E 
188,2016,Manual,365000,175000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
189,2017,Manual,440000,75000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
190,2022,Automatic,658000,5000,Toyota Vios 1.3 XLE CVT Auto,1,0,0,1,0,XLE
191,2007,Manual,123456789,5000,Toyota Vios 1.5 E Classic (A),0,0,0,1,0,E 
